alimento,porcao_gramas,calorias,proteinas,carboidratos,gorduras
Couve manteiga refogada,100,90.34,1.67,1.5,6.59
Couve-flor crua,100,22.56,1.91,0.59,0.21
Couve-flor cozida,100,19.11,1.24,0.28,0.27
Espinafre Nova Zelandia cru,100,16.1,2.0,1.16,0.24
Espinafre Nova Zelandia refogado,100,67.25,2.72,1.03,5.43
Farinha de mandioca crua,100,360.87,1.55,0.88,0.28
Farinha de mandioca torrada,100,365.27,1.23,0.95,0.29
Farinha de puba,100,360.18,1.62,0.83,0.47
Fecula de mandioca,100,330.85,0.52,0.28,0.28
Feijao broto cru,100,38.72,4.17,0.49,0.1
Inhame cru,100,96.7,2.05,1.19,0.21
Jilo cru,100,27.37,1.4,0.56,0.22
Jurubeba crua,100,125.81,4.41,1.98,3.91
Mandioca cozida,100,125.36,0.57,0.35,0.3
Mandioca crua,100,151.42,1.13,0.56,0.3
Mandioca farofa temperada,100,405.69,2.06,2.09,9.12
Mandioca frita,100,300.06,1.38,0.61,11.2
Manjericao cru,100,21.15,1.99,1.02,0.39
Maxixe cru,100,13.75,1.39,0.75,0.07
Mostarda folha crua,100,18.11,2.11,1.06,0.17
Nhoque batata cozido,100,180.78,5.86,0.46,1.94
Nabo cru,100,18.19,1.2,0.75,0.05
Palmito jucara em conserva,100,23.2,1.79,2.11,0.4
Palmito pupunha em conserva,100,29.43,2.46,2.14,0.45
Pao de queijo assado,100,363.08,5.12,2.33,24.57
Pao de queijo cru,100,294.54,3.65,2.01,13.99
Pimentao amarelo cru,100,27.93,1.22,0.5,0.44
Pimentao verde cru,100,21.29,1.05,0.39,0.15
Pimentao vermelho cru,100,23.28,1.04,0.44,0.15
Quiabo cru,100,29.94,1.92,0.83,0.3
Rabanete cru,100,13.74,1.39,0.75,0.07
Repolho branco cru,100,17.12,0.88,0.4,0.14
Repolho roxo cru,100,30.91,1.91,0.74,0.06
Repolho roxo refogado,100,41.77,1.8,0.7,1.24
Rucula crua,100,13.13,1.77,1.09,0.11
Salsa crua,100,33.42,3.26,1.78,0.61
Seleta de legumes enlatada,100,56.53,3.42,1.41,0.35
Serralha crua,100,30.4,2.67,1.39,0.74
Taioba crua,100,34.21,2.9,1.5,0.93
Tomate com semente cru,100,15.34,1.1,0.46,0.17
