alimento,porcao_gramas,calorias,proteinas,carboidratos,gorduras
Azeitona preta conserva,100,194.15,1.16,4.48,20.34
Azeitona verde conserva,100,136.94,0.95,4.48,14.22
Chantilly spray com gordura vegetal,100,314.96,0.52,0.21,27.27
Leite de coco,100,166.16,1.01,0.44,18.36
Maionese tradicional com ovos,100,302.15,0.58,2.6,30.5
Acaraje,100,289.21,8.35,2.15,19.93
Arroz carreteiro,100,153.77,10.83,2.43,7.12
Baiao de dois arroz e feijao-de-corda,100,135.68,6.24,1.06,3.23
Barreado,100,164.98,18.27,0.79,9.53
Bife a cavalo com contra file,100,291.23,23.66,1.12,21.15
Bolinho de arroz,100,273.51,8.04,0.49,8.29
Camarao a baiana,100,100.78,7.94,0.93,5.97
Charuto de repolho,100,78.23,6.78,0.42,1.12
Cuscuz de milho cozido com sal,100,113.46,2.16,0.75,0.68
Cuscuz paulista,100,142.12,2.56,1.34,4.65
Cuxa molho,100,80.09,5.64,4.03,3.59
Dobradinha,100,124.5,19.77,0.29,4.44
Estrogonofe de carne,100,173.14,15.03,1.06,10.8
Estrogonofe de frango,100,156.81,17.55,1.0,7.96
Feijao tropeiro mineiro,100,151.56,10.17,1.79,6.79
L,100,116.93,8.67,1.41,6.48
Frango com acafrao,100,112.78,9.7,0.55,6.17
Macarrao molho bolognesa,100,119.53,4.93,0.24,0.89
Manicoba,100,134.22,9.96,1.53,8.7
Quibebe,100,86.35,8.56,1.02,2.67
Salada de legumes com maionese,100,96.1,1.05,0.95,7.04
Salada de legumes cozida no vapor,100,35.41,2.01,0.61,0.31
Salpicao de frango,100,147.86,13.92,1.14,7.84
Sarapatel,100,122.98,18.47,1.06,4.42
Tabule,100,57.45,2.05,0.39,1.21
Tacaca,100,46.89,6.96,4.1,0.36
Tapioca com manteiga,100,347.83,0.09,0.51,10.91
Tucupi com pimenta-de-cheiro,100,27.18,2.06,1.04,0.28
Vaca atolada,100,144.9,5.12,0.54,9.32
Vatapa,100,254.89,6.0,2.66,23.23
Virado a paulista,100,306.95,10.18,1.53,25.59
Yakisoba,100,112.8,7.52,2.25,2.61
Amendoim grao cru,100,544.05,27.19,2.22,43.85
Amendoim torrado salgado,100,605.78,22.48,3.17,53.96
Ervilha em vagem,100,88.09,7.45,1.01,0.47
Ervilha enlatada drenada,100,73.84,4.6,1.44,0.38
Feijao carioca cozido,100,76.42,4.78,0.74,0.54
Feijao carioca cru,100,329.03,19.98,3.54,1.26
Feijao fradinho cozido,100,78.01,5.09,0.75,0.64
Feijao fradinho cru,100,339.16,20.21,3.49,2.37
Feijao jalo cozido,100,92.74,6.14,1.01,0.51
Feijao jalo cru,100,327.91,20.1,3.94,0.95
Feijao preto cozido,100,77.03,4.48,0.76,0.54
Feijao preto cru,100,323.57,21.34,3.79,1.24
Feijao rajado cozido,100,84.7,5.54,0.93,0.4
Feijao rajado cru,100,325.84,17.27,3.67,1.17
Feijao rosinha cozido,100,67.87,4.54,0.58,0.48
Feijao rosinha cru,100,336.96,20.92,3.58,1.33
Feijao roxo cozido,100,76.89,5.72,0.85,0.54
Feijao roxo cru,100,331.41,22.17,3.97,1.24
Grao-de-bico cru,100,354.7,21.23,3.17,5.43
Guandu cru,100,344.13,18.96,3.45,2.13
Lentilha cozida,100,92.64,6.31,0.61,0.52
Lentilha crua,100,339.14,23.15,2.61,0.77
Pacoca amendoim,100,486.93,16.0,3.75,26.08
Pe-de-moleque amendoim,100,503.19,13.16,1.15,28.05
Soja farinha,100,403.96,36.03,5.15,14.63
Soja extrato soluvel natural fluido,100,39.1,2.38,0.45,1.61
Soja extrato soluvel po,100,458.9,35.69,5.18,26.18
Soja queijo (tofu),100,64.49,6.55,0.72,3.95
Tremoco cru,100,381.28,33.58,2.6,10.34
Tremoco em conserva,100,120.64,11.11,5.03,3.78
Amendoa torrada salgada,100,580.75,18.55,1.47,47.32
Castanha-de-caju torrada salgada,100,570.17,18.51,2.61,46.28
Castanha-do-Brasil crua,100,642.96,14.54,3.4,63.46
Coco cru,100,406.49,3.69,0.97,41.98
Farinha de mesocarpo de babacu crua,100,328.77,1.41,3.4,0.2
Gergelim semente,100,583.55,21.16,2.93,50.43
Linhaca semente,100,495.1,14.08,3.67,32.25
Pinhao cozido,100,174.37,2.98,1.84,0.75
Pupunha cozida,100,218.53,2.52,0.69,12.76
Noz crua,100,620.06,13.97,2.06,59.36
